source,target,dataset
ja jakobnin bakebo riki kikinbires jakon shinanya jonibo,estos hombres son gente pacífica,religioso
isaíkanabiribi iká iki apo david,jesé fue padre del rey david,religioso
westíora nete teeta kopíra westíora kilo trigo bikanti iki jainxon westíora nete teeta kopíribira kimisha kilo kebada bikanti iki,una medida de trigo por una moneda de plata tres medidas de cebada por una moneda también ya no gastes el aceite y el vino,religioso
jato yokawe mia yoikanti ja nato yokabo axon,pídeles que respondan a las siguientes preguntas,educativo
jakoni dios betan jati joi yoiaibo,somos mensajeros de la reconciliación,religioso
ramara nokokanai mesko jaweki atibo ikainko,ahora se enfrentan a una diversidad de retos,educativo
itanribi teeti westiora jaweki chorishan itanribi,y mediante el uso de material concreto y del,educativo
jaskáabi jesussen jawebi yoiamaa iki jaskaketian ja sakerdotebaon koshin aká iki ja jatíbitian jiria diossen janenko noa yoita,pero jesús se quedó callado entonces el sumo sacerdote le dijo en el nombre del dios vivo te ordeno que nos contestes,religioso
jaskatai ninkatax jain ikana jatíribibo neskákana iki,al oírlo algunos de los que estaban allí dijeron,religioso
¿jawemein akanke shinankin jaskaaxon sikati kopi jain jawekibo iki kainko ati?,¿qué tuvieron en cuenta para dibujar los adornos de los sectores?,educativo
jaskákanai ninkatax jishtenxon jatíbi xontakobaon jaton lamparinbo jakonhakana iki,todas las jóvenes se despertaron y prepararon sus lámparas,religioso
oinmawe nato tsiniti jawekiain cabayoshoko betan ani kabayo,demuéstralo con el juego el caballito y el jinete,educativo
jainoara eneas janeya joni nokoa iki chantoyona ikax niti atipanyamaax moa posaka baritia bachin rakata,allí encontró a un tal eneas que era paralítico y desde hacía ocho años yacía en una camilla,religioso
ja herodesninbira jawe ramibi jan aká oinyamake jaskáakin riki noiba mato bemaribia nato joninra jawe ramibi akáma iki jaskara kopíra ja aká kopí non réteti yamake,y tampoco herodes pues me lo devolvió es evidente que este hombre no ha hecho nada que merezca la muerte,religioso
silababo westiorabo mapowe jaskaaxon seneanwe ja maxkatabo axon,tapa cada sílaba y completa lo que falta con las letras móviles,educativo
jainxonra aquí bokanai mesko jawekibo akin jainoax topontibo axekanti kopi,y elaborarán materiales que los ayudarán a construir y usar nociones matemáticas relacionadas con la representación de cantidades,educativo
jaskáaxonra jatíbi jawen jawékiboya ja jabok janeya paro keiba jato shitámaa iki,aquella misma noche jacob se levantó tomó a sus dos esposas a sus dos sirvientas y a sus once hijos y los hizo cruzar el vado de yaboc,religioso
ea riki kristo iki ikaibo jaskaáxonra icha jonibo jato paranoxikanai,yo soy el que están esperando y engañarán a muchos,religioso
2015 tian akana jaweki,versión 2015,educativo
eara rabé bake ainboya iki tsoa joninbi tanaamapari jabo en mato pikoxonbanon maton keena keská anon ikaxbi nato jonibo jaweayamakanwe en keena bekana riki akin,miren tengo dos hijas que todavía son vírgenes se las voy a traer para que ustedes hagan con ellas lo que quieran pero dejen tranquilos a estos hombres que han confiado en mi hospitalidad,religioso
"jatio ani itan nenke wishatibo ati,",tamaño y tipo de letra,educativo
wenixon min dios yokáwe onsá meranoa noa akintinin kenxon noa jamanon ixon akin,levántate invoca a tu dios quizá se acuerde de nosotros y no pereceremos,religioso
"wetsa baritianbora akana iki onankin jaskatax tsinkixon tee atibo mesko akinbo shinan axon jaton axeti xobo jakon aki boti itanribi jabe axeaibobetan tee ati,",en años anteriores han tenido la oportunidad de vivenciar y experimentar varias formas de organización de su aula y de sus grupos de trabajo,educativo
diossenra jatíbi jakonhanoxiki ja tashín axon iamaxon chiikan menoxon jawéki jakonhati keskáakin,pues el mismo fuego los conservará,religioso
jatíbitian jati neteya inoxonmein en jawe ati iki,qué debo hacer para conseguir la vida eterna,religioso
jaweratobaonki ja bake ikonhayamai jabaonra ja paparibi ikonhayamai ikaxbi jaweratoboki enra ja bake ikonhai iki ikai jabaonra ja paparibi ikonhai,pues el que niega al hijo ya no tiene al padre y el que reconoce al hijo tiene también al padre,religioso
ikaxbi jarake ja juanman yoia bebonbires ikonshaman jaskáaxon ea diossen raana maton onanti,pero yo tengo un testimonio que vale más que el de juan,religioso
¿jawekeskaki ika jaton ani wisha seneanti shinanbo?,¿cómo era el cartel de responsabilidades?,educativo
moa riki ea pacha kimisha chonka baritiaya jatíbiain kawantani jaa jatí baritia onitsapiti jaa ikaxbi riki ea ramakamanbi nokon yosibaon baritia ikátiaitii nokotama akin,los años de mi peregrinación son ciento treinta pocos y malos han sido los días de mi vida y no han llegado a igualar los años de vida de mis padres durante su peregrinación,religioso
noaribi jabé bonon bokanwe noa jabébi mawánon akin,vayamos también nosotros a morir con él,religioso
jawetianbi jawéki anox yoyo iki diossen janenkora en akai iki iamakanwe nin nai janetaanan janra onanke en senenhai ikiribi iamakanwe jara diossen ani yakati iki,no juren no juren por el cielo porque es el trono de dios,religioso
enra mato jatíbitian onanmaa iki jaskati teexon ja yoronai jonibo akinti shinankanwe ja non ibo jesussen noa yoini keská,con este ejemplo les he enseñado claramente que deben trabajar duro para ayudar a los débiles recuerden las palabras del señor jesús,religioso
wisharakanai ani kirikain jatibi jaton ati jawekibo axetiainkoniax,escriben un cartel de responsabilidades para el aula,educativo
jaskáakin yoiatianbi ja benche iwanaton moa oinna iki jainxon rabiananbi jesús chibana iki,al instante el ciego pudo ver,religioso
ikaxbi ja kexakameax pikotai joibo riki jonin shinan meran ikábo ja riki jan joni jakonma imai,en cambio lo que sale de la boca procede del corazón y eso es lo que hace impura a la persona,religioso
jaki shirokinra kenyoman betoshba akanti iki jainxonra rishkikanti iki jaskaáxonra retenoxikanai ikaxbi jawen kimisha nete itinra jirinoxiki akin santiago betan juanman jesús yokata,que se burlarán de él le escupirán lo azotarán y lo matarán pero tres días después resucitará santiago y juan piden los primeros puestos,religioso
jabaon akáni keskáakinribira nonribi ja jakon joi yoikanai ninkata iki ikaxbi ja ninkákanatonra jawe jato akinyamaa iki ja joi ikonhayamakanai kopí,nosotros igual que ellos recibimos una buena nueva pero a ellos de nada les sirvió el mensaje proclamado porque no fueron de los que creyeron esas palabras,religioso
benbo bake itan ainbo bakebo meniwe seneankanti jaskaaxon meskokeska jawekibo onanti kopi nato tee atinko,y entrega a las niñas y niños aquellas que atañen a las responsabilidades para que realicen el vínculo,educativo
yokawe jato jawe kirikainki aki bokanai benxo akin ja kirika wishabo ixon itan japekao jato menipakewe ja kirika akai bakebo jatixonbi tee akana iti kopi,pregúntales en qué planificador van a colocar las tiras de papel y distribuye las responsabilidades entre los estudiantes para que todos puedan participar en la edición del planificador,educativo
jaskara yoira moabi isaías iká iki neskati,también isaías anunció,religioso
jaskaaxon kirika ristantibo akanai,hacen un cuadro de préstamos de libros,educativo
jawekopiki mato ratetai israelita jonibo jawekopiki non atipana koshinbi iamaxon jakonhira ixon nato joni non nimaa keskáakin maton shinannai,israelitas por qué se quedan tan maravillados ustedes nos miran como si hubiéramos hecho caminar a este hombre por nuestro propio poder o santidad,religioso
ikaxbi jaskara yoshinbora oranhananbi ayunaxonpari pikotibo iki akin jato aká iki rabé itin jawen mawáti jesussen yoia,esta clase de demonios sólo se puede expulsar con la oración y el ayuno,religioso
noabora ja mawáinoax moa jatiori winotabo iki jara non onanke non wetsabo jato noiabo ixon jatian jato noiamabora mawá keskapari ikanai,pues el amor a nuestros hermanos es para nosotros el signo de que hemos pasado de la muerte a la vida,religioso
jaskara ixonra moa non kikinhakin onanke ja esébo senenhaaxbi tsoabi jaton ochameax xabakaati atipanyamaa diossen joi meran ikai neskati ja jakon jonira kristoki koshiaxes jati iki iki,con la ley nadie llega a ser justo a los ojos de dios la cosa es cierta pues el justo vivirá por la fe,religioso
akanon jaton teebo ja wishabo oinbokin,lo hagan concentrándose en el lenguaje escrito,educativo
¿qué jaya teeti jawekibo dijimos necesitamos akanti kopi portafolio? non ati kopi,¿qué materiales dijimos que necesitamos para elaborar nuestro portafolio?,educativo
ja diossen shinannai joi jato yoiai jonira kikini koiranmeeti jake jawetianki yoyo itiki itan jawetianki itima iki ikax,pues los espíritus de los profetas están sometidos a los profetas,religioso
itan mesko jan teeti jawekibo axon,y mediante el uso de material concreto y del cuaderno de trabajo,educativo
jatian jabaon makanbo bikana iki ja makanman tsakaanan retekaskin ikaxbi icha xaran jonetax ja dios rabiti xobo meranoax moa pikota iki,entonces tomaron piedras para lanzárselas pero jesús se ocultó y salió del templo,religioso
jaskatainbi ja ángelnin yoia iki,pero el ángel le dijo,religioso
jakonma riki bakebo piti bichinxon ochítibo non meninaanti akin jesussen aká iki,no se debe echar a los perros el pan de los hijos,religioso
ikaxbi jaton yora keenai shinanbaon jatoaresara moa wanokanti jake itan benokanti iki ja yoranti teneyamai jakonmayonaketian,pero si no logran contenerse que se casen pues más vale casarse que estar quemándose por dentro matrimonio y divorcio,religioso
jawetianki non yonotibo senenai,cuando las órdenes se terminen,educativo
jawetianki bokanai mercadoain iamax tintanko,cuando van al mercado o la tienda,educativo
yoyo awe wishai kaman,lee mientras la escribes,educativo
eariki ja uva jiwi jatian mato riki ja ponyanbo jaweratoki ebetanbi iki itan earibi jabetanbi iki janra jakoni bimiai keskáakin icha jakon teebo ati iki ikaxbi ebetanma ixonra tsonbi jawe atipanyamake,yo soy la vid y ustedes los sarmientos el que permanece en mí y yo en él ése da mucho fruto pero sin mí no pueden hacer nada,religioso
jatibi ainbo bakebo,todas las niñas,educativo
ja reken wanoaxbi bakeoma mawata iki,se casó el primero y murió sin tener hijos,religioso
shinankanwe jawekeska akinki maton yoiyai,piensen cómo lo contarán,educativo
neskataxa iká iki ja diossen bake jesukristokiriti iká jakon joi yoikaati peokooti,este es el comienzo de la buena nueva de jesucristo hijo de dios,religioso
yokawe jaweranoki kai ja janebo,pregúntales dónde van esos nombres,educativo
jatian ja joséra jaa iki pacha chonka baritia senenres,murió a la edad de ciento diez años,religioso
jawen boo iká iki joxo lana keska joxoshaman itan nibí maana keská joxoshaman jainoax jawen okenbekonbi bero iká iki chii tirí keska,su cabeza y sus cabellos son blancos como la lana blanca como la nieve sus ojos parecen llamas de fuego,religioso
yokawe jato oinkanon ja ribojo itina jainxon yoyo awe ja tee akanti jawekibo,pide que observen la imagen y lee en voz alta el problema,educativo
jatian ja ángelnin ea yoia iki,después el ángel me dijo,religioso
jainpacho jesussen jaonmea onanaiboyabi tsinkíkinai iketian judas jato yatanmaitonin moa onanna iká iki,judas el que lo entregaba co nocía también ese lugar pues je sús se había reunido allí muchas veces con sus discípulos,religioso
nonbixbi jakon riki ea ixon shinanmeetaanan non akenra non ibon masábo noa tenematima iki,si nos examináramos a nosotros mismos no seríamos juzgados,religioso
¿jawekeskaaxonmein non jawekibo ati iki jawen raston oinxon?,¿cómo ordenamos según grosor,educativo
nto jawekibo ribi akanti atiapnke nokomaki onankanon ixon mesko especialistaboibaribi,los cuales nos puedes hacer llegar a través de los especialistas en las diversas actividades que se realizan en tu región,educativo
¿ikiati atipana ja jawekibo jan axeti non neno aka?,¿pueden ser de utilidad los rótulos aquí en el aula?,educativo
tsinkiti 5,sesión 5,educativo
jaskáakin jato yoiax galileankobi baneta iki peotaninshokobo iti fiestanko jesús kaa,así habló jesús y se quedó en galilea,religioso
jatian moa noa nokóketian ja jerusalénhainoa joi akaibaon raroshamanhanan noa bikana iki,al llegar a jerusalén los hermanos nos recibieron con alegría,religioso
nenoax orira moa tsonbi jakonmaatinin ea keenyamai nokon yora riki tóabires ja oinxonra ea onankantiki ja kriston joi yoiai kopí ea akana,por lo demás que nadie venga a molestarme pues me basta con llevar en mi cuerpo las señales de jesús,religioso
jaskáaketian jesussen yoia iki,jesús le contestó,religioso
jawekopikayaki maton jakonmaakin shinannai,por qué piensan mal,religioso
benbo bake itan ainbo bakebaonra yoyo akanai mesko yoyo ati kirika tsamatabo,los niños y niñas realizan una lectura exploratoria de los diversos textos,educativo
jaskáakana jesussen jato yoiribia iki,jesús les respondió,religioso
jaskarabo iiti jan jato xeamaibaon joni koshi betan panhakaibaon joni koshin ja egiptonkonia apo akonbireskin sinámakana iki,sucedió tiempo después que dos funcionarios el que preparaba las bebidas para el rey de egipto y el panadero principal cometieron algunas faltas contra su señor el rey de egipto,religioso
ibó minra ea menia iki rabé waranka koríki natora wetsa rabé warankaribi en mia meniai ja riki en kaimaa akin aká iki,señor tú me entregaste dos talentos pero aquí tienes otros dos más que gané con ellos,religioso
miaribimarin ja jesussenmea onanai akin,no lo soy,religioso
jatian jaribi jaskati tanakaatibo onitsapita ixonra rama ja jaskati tanakaataiboribi jan jato akinti atipanke,el mismo ha sido probado por medio del sufrimiento por eso es capaz de ayudar a aquellos que son puestos a prueba,religioso
jaskara ikenra ja diossen onan shinanyabo itiakin shinannaibo ixon jaskáaxon ja joi akaibo bebonhakin jato koshikinti onan shinanyabo itiakin maton shinanti jake,tomen esto en cuenta y si se interesan por los dones espirituales ansíen los que edifican la iglesia así no les faltará nada,religioso
¿jaweatimein wishai non janebo?,¿para qué escribimos nuestros nombres?,educativo
winowe jato ikainko jaskaaxon oinwe jawe wishaiki ikanai croquisain,pasa por cada lugar para observar lo que están escribiendo en el croquis,educativo
jainoax jaríbake kretainoax itan arabiainoax bekanaboribi,y todos les oímos hablar en nuestras propias lenguas las maravillas de dios,religioso
neskáakinbo itan icha meskó eséboribi yoiananra jakon joi juanman jonibo yoia iki,con estas instrucciones y muchas otras juan anunciaba la buena nueva al pueblo,religioso
moa botankanwe boxon jaonmea onannaibo itan pedro yoitankanwe mato kaamatianbironki japari galileanko kaai jainoaronki maton ointi iki ja mato yoiibata keskáakin akin atankanwe akin,ahora vayan a decir a los discípulos y en especial a pedro que él se les adelanta camino de galilea allí lo verán tal como él les dijo,religioso
tsonbira chopa ritás benakan chopa payo onayamai bená ikax niníkin ja chopa payo noshiai iken jaskataxa ja noshí bebonbires ani iti iki,nadie remienda un vestido viejo con un pedazo de tela nueva porque el pedazo nuevo tiraría del vestido y la rotura se haría mayor,religioso
meniwe pei pakex kirika iamax cartulina itan jato yoiwe rekenpari wishakanti ani wisha janeyabo sectorainoa,entrégales tiras de papel o cartulina y proponles primero escribir los letreros con los nombres de los sectores,educativo
ea iti iki jonibaon join yoyo iki jainoax ja ángelbaon joinribi ikaxbi ja diossen noimisti shinan emeran yamaaxa yami tsaran ikai keskáres itan kanpana taan akanai keskáresibi ea itiki,aunque hablara todas las lenguas de los hombres y de los ángeles si me falta el amor sería como bronce que resuena o campana que retiñe,religioso
ja tee atibo itan wisha akanabora kikin jakon iki axetiainko jainoa senen akanti kopi akin westiora croquis jatibi axetiainoa,los sectores y los carteles que son necesarios para el aula y juntos elaboren un croquis general para el aula,educativo
nokon bake kopíra ea meketai ja mawábo ikain jabé iki ea kaai kamanra ikai ikinbo,estaré todavía de duelo cuando descienda donde mi hijo al lugar de las sombras y su padre lo lloró,religioso
matobora ja mawataxbi jiria keskábo iken diossen ja kristo betanbi jawen netenko jaai kanon ixon mato imaa iki,pues han muerto y su vida está ahora escondida con cristo en dios,religioso
pakéxon non jaton joi onantimaara jakon iti iki ibakanon yoyo ikibi ninkakananyamai iki ixon,pues bien bajemos y confundamos ahí mismo su lengua de modo que no se entiendan los unos a los otros,religioso
jain yakáxonra jesussen oinna iki joni icha ja chibani bekanaitian jaskara oinxonra jesussen felipe yokata iki,jesús pues levantó los ojos y al ver el numeroso gentío que acudía a él dijo a felipe,religioso
kamellobaon xeakin senenhaketian ja jonin bia iki westíora oro meosoti jawen iwe sokota gramos jainxon ja xontako jawen rekinhain sawemaa iki jainxonribi menia iki rabé oro menexeti jawen iwe pacha gramos iká iki,cuando acabaron de beber los camellos él sacó un anillo de oro para la nariz de seis gramos de peso y para sus brazos dos brazaletes de oro de unos diez gramos,religioso
miaki tsoa iki ibó,quién eres señor,religioso
kristo betanbi korosen akana mawata keská riki ea jaskara ikenra kristo emeranbi jaketian nokon keena keskáres akí ea jayamake rama ea jake diossen bake ikonhataanan jaki koshiax jara ea akonbireskin noiax nokon toan mawata iki,y ahora no vivo yo es cristo quien vive en mí lo que vivo en mi carne lo vivo con la fe ahí tengo al hijo de dios que me amó y se entregó por mí,religioso
bakebo jato yokawe:,pregunta a los estudiantes,educativo
¿wetsaresibiakinki non aribati atipana?,¿podrían agruparlos de otra manera?,educativo
jaskati moa dios kaketianra jakobnin westíora makan bixon jain jaskarabo ikainkoshaman nichina iki ja makan nichinxonra diossenabiribi iti kopí xeni betan uva jenen rachita iki ja oinnaitiibi diossenbi jainxon yoyo aka shinanti kopí,jacob puso de pie una piedra commemorativa en el lugar en que había hablado con dios y derramó sobre ella vino y aceite,religioso
jatian jesussen yoia iki ja jatíbi esébo xewina senenhati joi riki neskara ninkákanwe israel jonibo ja non ibo diossiki jabichores non ibo,jesús le contestó el primer mandamiento es escucha israel el señor nuestro dios es un único señor,religioso
jatian pablonbiribi silas ionoxon bia iki,pablo por su parte eligió a silas,religioso
"rotacion iamax girobo ikai figurabo planonko,","la rotación o el giro de figuras en el plano,",educativo
jainxon jesussen jaonmea onannaibo yokata iki,entonces jesús les preguntó,religioso
jakon akin jain itina jaskaaxon meratibo shinankanai itanribi wetsa jawekibo merati,organiza datos respecto a la localización y de objetos,educativo
jaskara iketian antiokíainoa joi akaibaon shinankana iki judeainoa joi akaibo westíorabaon jaton atipana senenbo jato jawékinin akinti,entonces cada uno de los discípulos empezó a ahorrar según sus posibilidades destinando esta ayuda a los hermanos de judea,religioso
tsoa matobaonmein pacha ovejaya ixon westíora manóketian merai kaai kaman benai kakin ja iskon chonka iskon potabaintima iki,no deja las otras noventa y nueve en el desierto y se va en busca de la que se le perdió hasta que la encuentra,religioso
"¿jawekeskatiki peokotai noariki iki?,",¿cómo comienza somos ?,educativo
jaskáribira winoti bokanai ja en mato yoikin atai jakonma jonibo jaton iresbiresa shinanmanra jaton yora ramiakanai ja ibon koshira jawebi onankashamakanai itan ja ángelbokiribi jakonmaibo yoyo ikanai,así también estos hombres se dejan llevar por locuras parecidas envilecen sus cuerpos y desprecian a las autoridades celestiales,religioso
jatíbi jonibaon koshira min bake min imaa iki jaskatax ja nokona iti min ea menia jonibo jatíbitian jati neteya ikanti kopí,tú le diste poder sobre todos los mortales y quieres que comunique la vida eterna a todos aquellos que le encomendaste,religioso
jatian rekénpari edom main apo jikia joni iká iki bela ja iká iki beornin bake jawen jeman jane iká iki dihanba,en edom reinó bela hijo de beor y el nombre de su ciudad era dinaba,religioso
jain kaxonra jainribi jato jakon joibo yoikana iki,donde se quedaron evangelizando,religioso
abakanon oinxon tanakin jaton wishaabo betan.,que lo comparen con lo que han escrito,educativo
ea jakiribi joái kaman nato koríki maton teemakanwe akin,comercien con ese dinero hasta que vuelva,religioso
jatian ja judíobo betan jakon banéti kopí félixnin pablo pikoyamakin kárkel meranbi jenea iki,entonces felix fue reemplazado por porcio festo y como quería quedar bien con los judíos dejó a pablo preso,religioso
jawekeskatiki jawetianbi joni betan yorantinin iosma ikaxbi ea neskara jawéki iti iki,cómo puede ser eso si yo soy virgen,religioso
itan yokawe shinankanti jawe jawekiki ainbakana bakish nete ixon,y pídeles que recuerden lo que hicieron el día anterior,educativo
yoyo axonwe jato penpenshoko kirika aki kai,nárrales el cuento mariposita va a la escuela,educativo
jatian jaonmea onannaibaonbiribi ja jesús jawékiamakaskin natotanibires piwé maestró akin akana iki,mientras tanto los discípulos le insistían maestro come,religioso
kikin metsáshaman riki ja jakon joi yoiaibo non jato nokotai oinna iki,qué bienvenidos los pies de los que traen buenas noticias,religioso
jatian moa jaskáa kaxon ja tamarnin jakiribi ja benomaayaxon saweti chopa saweribia iki,ella después se marchó a su casa y quitándose el velo se puso sus ropas de viuda,religioso
katowe benbo bakebo itan ainbo bakebo betan signobo aki bokanai jaskaaxon jaton jane atibo itan jato yoiwe jaska akin aki bokanai netetiibi,elige con la participación de los niños y las niñas los signos que usarán para registrar su asistencia y explícales cómo usarán el cartel todos los días,educativo
iti atipanke jaskarainoax teeti jawekibo,así como compartir un ambiente más agradable,educativo
¿jawekeskaraki maton oinkasai jainoax mato axeai?,¿cómo quisieran que se vea su salón?,educativo
meskokeska jawekibo marotiainko bixonra non oinai,comparamos colecciones de objetos en la tiendita,educativo
irake awe bakebo jatikaxbi yoyo ikana kopi itanribi akinwe axekanai kaman,valora la participación de todos los estudiantes y guíalos durante el aprendizaje,educativo
jaskara iken moa kristo betanbi jiria keskábo ikax ja jain diossen mekayao kristo itina naikanmea jawékibores shinanni jakanwe,si han sido resucitados con cristo busquen las cosas de arriba donde cristo está sentado a la derecha de dios,religioso
abrammanra ibo ikonhaa iki jaskáaketianra já yoii atikeskabiakin akai joni riki iki ibo iká iki,y creyó abram a yavé el que lo tuvo en adelante por un hombre justo,religioso
jaskara ixon nokobainxon jesús aká iki,se fue directamente donde jesús y le dijo,religioso
meraax kaxon bichi chomon onpax bochoaa iki jainxon ismael xeamaa iki,llenó el recipiente de cuero y dio de beber al niño,religioso
kedorlaómer itan jabetan rabeta apobo jatoaresa pekáo abram joketian biira sodoma apo savé manan teshanpain kaa iki jaribira apon teshanpa iki,cuando abram venía de vuelta después de derrotar a codorlamor y sus aliados le salió al encuentro el rey de sodoma en el valle de save es decir el valle del rey,religioso
jakon akin pekao diálogo jato yokawe,después del diálogo pregúntales,educativo
mato oinni kakáshorakinra akai en jaskáakinbo orankin kaxonra en mato akinti shinannai mato bebonbires kristoki koshikanon ixon,tengo muchas ganas de verlos para comunicarles algún don espiritual que los fortalezca,religioso
jatianribi jaonmea onanaibaon jesús yokákana iki,en aquel momento los discípulos se acercaron a jesús y le preguntaron,religioso
akinwe nato tee,acompaña este proceso,educativo
ea riki ja rekenainoa itan senentiainoa ikira ikai ja jatíbi atipana koshia ibo dios ramakamanbi jake moatianbi jakátiai itan ja joríbati kriston namá keska meranxon juan oinmaa,yo soy el alfa y la omega dice el señor dios aquel que es que era y que ha de venir el todopoderoso,religioso
ja sión janeya mananman iká jonibo yoikanwe oinkanwe jainra maton apo joái jara rabiti shinanhoma iki westíora burro baken peyakaaxa joái iki,digan a la hija de sión mira que tu rey viene a ti con toda sencillez montado en una burra un animal de carga,religioso
jato joiwe axetiainkoxon yoiya,comunícales el propósito de la sesión,educativo
pei kirika mesko sikaya,hojas arco iris,educativo
jaweranoki maton icha jawéki benxoa itina jainresa maton shinannai,porque donde está tu tesoro allí estará también tu corazón,religioso
nato riki ja senenhabekonti joi en miibetan akai,esta es mi alianza que voy a pactar contigo,religioso
diossen noimisti shinanki koshii jeneyamawe jainoax manákanwe ja non ibo jesukriston jawen akinmisti shinanman jatíbitian jati netenko noa imai kaman,y manténganse en el amor de dios aguardando la misericordia de jesucristo nuestro señor que los llevará a la vida eterna,religioso
ja yamébi ja kárkel koiranaiton ja xatekanabo pablo betan silas jato chokaxona iki jato jaskáa pekáo ja joni jawen xobon ikáboyabi diossen bautizamekana iki,el carcelero sin más demora les lavó las heridas y se bautizó con toda su familia a aquella hora de la noche,religioso
jato ninkamati kopi,para informarlos,educativo
jainxon jesussen jato yokata iki bakebó matonki yapa biamaa akin,jesús les dijo muchachos tienen algo que comer le contestaron nada,religioso
jatian moa jawen bakebo noa ikenra jawen baken shinan noomeran noa diossen axona iki ja shinanman imaara non akai dios betan yoyo ikin mia riki nokon papa akin,ustedes ahora son hijos y como son hijos dios ha mandado a nuestros corazones el espíritu de su propio hijo que clama al padre abbá o sea padre,religioso
jain boxon mirra moka vinoya meskoa xeamakaskanabi jesussen ayamaa iki,después de ofrecerle vino mezclado con mirra que él no quiso tomar,religioso
jatian ja antiokíainoa meraxon ioa iki jain westíora baritia senen joi akaibo betan ixon icha joni jato esea iki ja antiokíainxonra jaonmea onannaibo peokin janekana iki kristianos akin,y apenas lo encontró lo llevó a antioquía en esta iglesia trabajaron juntos durante un año entero instruyendo a muchísima gente y fue en antioquía donde los discípulos por primera vez recibieron el nombre de cristianos,religioso
ja ainbo iká iki tooya jaskara ikax baken chexaa masábires tenei sion ika iki moa bakentires ikax,está embarazada y grita de dolor porque le ha llegado la hora de dar a luz,religioso
ikaxbi ja judío koshibo en jato yoiibata keskáribiakinra rama en mato yoiai ea jain kaainkora mato kati atipanyamanoxiki,me buscarán y como ya dije a los ju díos ahora se lo digo a ustedes donde yo voy ustedes no pueden venir,religioso
jaskáakana westíora bake kenaxon jato napon jesussen nichina iki,jesús llamó a un niñito lo colocó en medio de los discípulos,religioso
ikonrin mia romamea joni,eres ciudadano romano,religioso
jaskarabo ikenkaya dios joáires manaanan ishtontani jotiakin shinanon akanwe ja joái netera naibo chiikan keyonoxiki jatian wishtinbora ja chii tiritaiton menonoxiki,mientras esperan y ansían la venida del día de dios en la que los cielos se desarmarán en el fuego y los elementos se derretirán por el calor,religioso
ikaxbi jesukristora westíoraibicho ochabo kopí mawata iki jaskata pekáora diossen mekayao yakata iki,cristo por el contrario ofreció por los pecados un único y definitivo sacrificio y se sentó a la derecha de dios,religioso
ninkáwe yaméra non papa betan en yoranwanke jaskara iketian nato yamé jakiribi paenhanon awé min já betan yorannon jaskáaxonra rabéxonbi non jabé bakeati iki akin,ya sabes que me acosté anoche con mi padre hagámosle beber vino otra vez esta noche y te acuestas tú también con él para que la raza de nuestro padre no desaparezca,religioso
matoiba kaman nokóketian nato joi ninkáxonra jatíbiainoa jonibaon ichaxon ikonhai iikanai ja diossen jakon shinan yoikanai ninkaxon jara ikon iki ixon onanax moatian mato jaskara winota keskáakinribi,ya está entre ustedes y lo mismo que va creciendo y dando frutos por todas partes en el mundo también lo hace entre ustedes desde aquel día en que recibieron y conocieron el don de dios en toda su verdad,religioso
¿cómo reaccionaron frente ja atikoma jawekibo tuvieron? kopi,¿cómo reaccionaron frente al problema que tuvieron?,educativo
jakiribi aribawe abokin jaskaaxon jatixonbi jakonshamaakin nato wishakana oima kopi,vuelve a hacerlo tú de corrido para que todos tengan claridad en la información compartida,educativo
ebetanbi jaxon nokon join yoiai keskábo akin jeneyamakinra maton keenkin yokatabo mato diossen meniti iki,mientras ustedes permanezcan en mí y mis palabras permanezcan en ustedes pidan lo que quieran y lo conseguirán,religioso
bakebaonra yoyo akai mesko shinan wishakanabo jainxonra ja wisha jain nanetibo akanai,los estudiantes leen un texto instructivo y elaboran un portafolio para guardar sus trabajos,educativo
jatianra jesussen jawékiki yoinhanan jato neskáakin yoia,entonces jesús les dijo esta parábola,religioso
eara ikonbiresi mawákasnon kaman onisai nenobipari ikanwe oxayamakanwe akin,siento en mi alma una tristeza de muerte quédense aquí y permanezcan despiertos,religioso
moara janbishaman yoike wetsabaon yoitininra moa noa maxkáyamake,para qué queremos ya testigos,religioso
bemenkanwe ja pitira moa yasanabo ikax moa pitires iki akin jato yoiti,vengan que ya está todo listo,religioso
jaskáakin yoia kopí herodías juanki kikinni sináxon retekasa iki ikaxbi ati atipanyamaa iki,herodías lo odiaba y quería matarlo pero no podía,religioso
ramara jabo ati bebonbires mia non ramiayonai,eres un forastero y ya quieres actuar como juez,religioso
ikaxbi jabaonra onanyamareskana iki jan jato yoiaibo diossenbi jato onanmayamaitian jainoax kikiniribi rakékana iki onantiakin jato yoinon ixon jesús yokátininbo tsoarin jan jato xewina joni,pero ellos no entendieron estas palabras algo les impedía comprender lo que significaban y no se atrevían a pedirle una aclaración quién es el más importante,religioso
jatian ja wanoti fiesta moa senenketian ja yamébi labánman jawen bake leares jakob bexona iki jares bexonabi onanyamaxon bixon jakobnin oxakiina iki,y por la tarde tomó a su hija lía y se la llevó a jacob que se acostó con ella,religioso
jainxonribi ja oinxon onanti ani ratéti jawékibo aká iki jatíbi jonibaon oinnonbira ja naikanmea chiibobi maiki pakémaa iki,realiza grandes prodigios incluso hace descender fuego del cielo a la tierra en presencia de toda la gente,religioso
jatian jaskati jaton jane wishakaatira iká iki kirenio janeya joni siriainoa joni koshi iká inontian,éste fue llamado el primer censo siendo quirino gobernador de siria,religioso
