source,target,dataset
eara ishtoti jake,debo hacer ejercicio.,flashcards
¿galleta mia kenresai?,¿quieres más galletas?,flashcards
paxkinara ea ibake,estaba cansado.,flashcards
¿jainshamanki mia yoyo ikai?,¿estás seguro de esto?,flashcards
jabaonra noa akinai,ellas nos ayudan.,flashcards
wisora onis iki,lo negro entristece.,flashcards
westiora benbo joni iwe,sé un hombre.,flashcards
jemanxonra en manai,esperaré afuera.,flashcards
jawen poiriki,son hermanas.,flashcards
eara yatankanke,me ataron.,flashcards
¿jaweranoki mia ja?,¿dónde vives?,flashcards
ninkataima jisa,pareces estúpido.,flashcards
mesko akin oinmayamawe,no hagas muecas.,flashcards
jaskapainra keyoibake,finalmente se acabó.,flashcards
xepoti kaman ishtoibake,corrí hacia la puerta.,flashcards
jakonra winoke,pasó muy bien.,flashcards
jabaonra ninkayamai,ellos no entienden.,flashcards
¿jawe yoikasirin mia?,¿qué quieres decir?,flashcards
¿jakonira noyake?,¿tuvo un buen vuelo?,flashcards
¡eabicho jenewe!,¡déjame sola!,flashcards
¿ea yometsonin kenairin mia?,¿me estás llamando ladrón?,flashcards
enra banemati atipanyamake,no puedo detenerla.,flashcards
min shinanai jawekibo ninkakasira ea iwanke,quería tu opinión.,flashcards
maton jatibi onana,saben todo.,flashcards
tomra chopa kenai,tom necesita ropa.,flashcards
jakiribi winwe,mira de nuevo.,flashcards
nato oinkanwe,miren esto.,flashcards
yoyo ati kirikara en yoyo ati jake,debería leer el libro.,flashcards
¿nonki moa keyoa?,¿hemos terminado?,flashcards
enra mia jenai,te liberaré.,flashcards
¡ramabi ea wishawe?,¡escríbele inmediatamente!,flashcards
¿min kenati atipana?,¿pudiste contactarlo?,flashcards
tomra niai,tom camina.,flashcards
¿booyomarin mia?,¿estás tú calvo?,flashcards
tomanra niwe chicho niaibake,tom inhaló.,flashcards
¿en mato westiora jaweki yokati atipana?,¿puedo preguntarte una cosa?,flashcards
enra mia bakish oinribikasai,espero verla mañana.,flashcards
bakishra en icha yoyo akai,mañana estudiaré mucho.,flashcards
"ramaki min tee akai, ¿ikon?","hoy estás ocupado, ¿verdad?",flashcards
"―poishenaro pamari noyatsinkareni, paitarinka oyenane.","―atizaa la candela porque siento frío, no sé qué tengo.",cuentos
¿jaweranorin ea?,¿dónde estoy?,flashcards
¿minki ea ninkatai?,¿me entiende usted?,flashcards
¿jawe min shinanai?,¿qué crees?,flashcards
¿min rapicero en biti atipana?,¿puedo usar tu bolígrafo?,flashcards
eara kenresai,quiere más.,flashcards
eara joneti jake,debo esconderme.,flashcards
eara frances axeiki,estudio francés.,flashcards
¿boston ikainkorin rama mia?,¿estás ahora en boston?,flashcards
jabaonra xeai coca-cola,ellos beben coca-cola.,flashcards
¡jakoinra yame!,¡qué noche!,flashcards
enra amake,yo lo hice hacerlo.,flashcards
bochochara iwanke,estaba medio lleno.,flashcards
¿min ja yoiti atipana?,¿puedes garantizar eso?,flashcards
enra reteti atipanke,podría matarla.,flashcards
¿mia joa?,¿ha venido?,flashcards
kareswe tom,"prosigue, tom.",flashcards
ishto riki jabo,son rápidos.,flashcards
ikantiri icharine:,dijo a su pariente:,cuentos
eara teneyamai,no puedo soportarlo.,flashcards
icha jan joto tsekatiya,tengo muchas cámaras.,flashcards
shinanresira ibake,solo estaba recordando.,flashcards
westiora korbata yoshinya riki ea,compré una corbata roja.,flashcards
rabe bakera pikoke,ella tuvo gemelos.,flashcards
axeamis riki ea,yo soy profesor.,flashcards
yajiriki ichakopite.,tomó la flecha.,cuentos
westiora jainoa joibo onantiya riki ea,tengo un buen diccionario.,flashcards
nokonara teekanai,trabajan para mí.,flashcards
¿enki piti atipana?,¿puedo comer algo?,flashcards
enra yoati onanyamake,no sé cocinar.,flashcards
jakoankin aki riki ea,sólo me estoy asegurando.,flashcards
¿minki jato akinkasai?,¿acaso piensas ayudarlos?,flashcards
noara baneke,estamos perdidos.,flashcards
awe moa,hazlo y punto.,flashcards
enra merati jake,debo encontrarlo.,flashcards
jaskaraki winota,pasó exactamente así.,flashcards
jakon akin akai riki ea,soy justo.,flashcards
rabebira noa kawanke,ambos competimos.,flashcards
eara pikotai,voy saliendo.,flashcards
tee iñapajeri atiri.,pero no lo encontró.,cuentos
¿bakish en mia ointi atipana?,¿puedo verte mañana?,flashcards
jaskara ati jake,tal vez debería hacerlo.,flashcards
eara mawakeanke,casi morí.,flashcards
jawen benara joshinke,su cara palideció.,flashcards
enra moa onanke,ya sé.,flashcards
kikini ea raroai ja ninkatax,realmente me alegra escucharlo.,flashcards
¿ikoni mia main kakasai?,¿de verdad quieres caminar?,flashcards
minra jakon akin yoike,adivinaste bien.,flashcards
"osanti akirin mia, ¿ikon?","estás bromeando, ¿verdad?",flashcards
jaboki sai ika,ellos gritaron.,flashcards
¿jawe akirin mato?,¿qué hacen?,flashcards
osanyashaman mia ike,estabas feliz.,flashcards
min keni riki ea,tengo sentimientos por ti.,flashcards
jakonra iwanke,estaba tan bien.,flashcards
iñeajeitapakeri yora atiri saikajeitatsiri pankotsiki aisati maaroni.,vio que muchas personas vivían allí.,cuentos
¿min ea shinantania?,¿me extrañaste?,flashcards
matsira ike,estaba nevando.,flashcards
¿tsoaribiki isimeta?,¿alguien más resultó herido?,flashcards
ari imaperotanaka ojime osabetakari tee omatakotajeri katsiketi yoanaka ikamake itsabiatanaji.,"entonces empeoró. su esposa lo cuidaba, pero no se curaba con las medicinas; finalmente murió y fue enterrado.",cuentos
tom riki,es tom.,flashcards
rabekax kati riki,viajemos juntos.,flashcards
nokoxonra en kafe ake,cuando llegó hice café.,flashcards
tomanra cafe xeai,tom bebe café.,flashcards
enra teneti atipanyamake,no puedo resistir.,flashcards
"bakishra, jan shinanresai","mañana, él alunizará.",flashcards
¿jawe hora maton xepoai?,¿a qué hora cierran?,flashcards
eara yoyo akai,leo libros.,flashcards
¿enki jato jakomaakai?,¿acaso maldigo demasiado?,flashcards
xepoti timakanai,golpean a la puerta.,flashcards
¿miaki jatibitian kanankanai ikasai?,¿acaso te gusta perder?,flashcards
yakaxon manaresti riki,esperamos allí tranquilamente.,flashcards
jara pikowanke,el tuvo que retirarse.,flashcards
tsoabira saiyamake,nadie gritó.,flashcards
nato yatankanwe,tome esto.,flashcards
¿luneski jawe winota?,¿qué pasó el lunes?,flashcards
ari asaikini ibankoki jenoki.,entonces estaba en la casa arriba.,cuentos
kikini paena riki mia,estás muy borracho.,flashcards
ponte yoiyai iwe,sé más preciso.,flashcards
seneanti jawekibora jake,hay reglas.,flashcards
¿coñarin mia?,¿estás de coña?,flashcards
nenobi banepain noa ika,deberíamos quedarnos aquí.,flashcards
jakonki en aka,lo hice bien.,flashcards
¡westiorara ea kenai!,¡quiero uno!,flashcards
pimpenaro pitsini.,dame un poco de tu agua.,cuentos
jainmacha jisa,parece confundida.,flashcards
jabaonra noa akinai,ellos no ayudan.,flashcards
¡metsaira sikbo?,¡qué hermoso arcoíris!,flashcards
"―jee, kametsatake.","―sí, está bien.",cuentos
eara wetsatianbo yoyo akai,leo frecuentemente.,flashcards
"―pipenaro pishinto, nanakerota nabankoki.","―entrégame a tu hija, la llevaré a mi casa.",cuentos
¿min marokasai?,¿quieres venderlos?,flashcards
enra ninkake,escuché algo.,flashcards
¿en ointi atipana?,¿puedo verlo?,flashcards
westiora horara en yoyo awanke,estudié durante una hora.,flashcards
jainmashaman en xepena,abrí lentamente la puerta.,flashcards
jakoinra bake,buen chico.,flashcards
enra onana ike mia jakon,sabía que estabas bien.,flashcards
mawatara ibakanke,estaban muertos.,flashcards
yantancha kati riki,vamos tarde.,flashcards
nokon atipanara en ake,yo hice mi parte.,flashcards
nokon kenriki jawen ika,me gusta su actitud.,flashcards
eara ramabi nokokasai,espero llegar pronto.,flashcards
¿enki xepoti kepenti atipana?,¿puedo abrir la puerta?,flashcards
jawetianbira en jan batanti biamai,nunca compro azúcar.,flashcards
jatibira osani ibakanke,todos sonreían.,flashcards
rabebira joke,ambos asintieron.,flashcards
¿min jawe keni ibata?,¿necesitabas algo?,flashcards
¿min jato akinkasai?,¿quieres salvarlos?,flashcards
pikasi ibiraira en shinanke,asumí que tenían hambre.,flashcards
¿en mia yame pikinti atipana?,¿puedo invitarte a cenar?,flashcards
ea riki axeamispari,todavía soy profesor.,flashcards
nonra masa shinanxonai,lo procuramos.,flashcards
jatixonbi oinwanke,todos miraron.,flashcards
¿jawe shinanirin mia?,¿te estás aburriendo?,flashcards
nonra kananti jake,deberíamos ganar.,flashcards
"―mekaya meeka pijataje, pantapaje pobanepee, pimpakitapee paitaperika, ari ikantabajiri.",―vete de aquí. haz tu chacra donde vas a vivir.,cuentos
kikin metsashokoriki mia,¡eres tan hermosa!,flashcards
¿jaweranorin mia ramashokobi?,¿dónde estás ahorita?,flashcards
wetsa biwe,toma otra.,flashcards
¿jaweti min kopiaka?,¿cuánto pagaste?,flashcards
jaweki keni ikatom?,¿qué quería tom?,flashcards
tomra ibake rateta,tom estaba hipnotizado.,flashcards
―¡jaa!― yankeanakeri tsikonti.,―¡jaa!― respondió tsikonti.,cuentos
nonra seneanyamake,no tuvimos éxito.,flashcards
¿ramaki oi beai?,¿lloverá hoy?,flashcards
¿toman kenirin mia?,¿estás enamorada de tom?,flashcards
―irompaa kaari pamantana.,―por eso no debes matarme.,cuentos
jara ransakasai,ella quiere bailar.,flashcards
aspirina bikasi riki ea,quería comprar aspirina.,flashcards
italiara europain iki,italia queda en europa.,flashcards
kafenin ken riki ea,me encanta el café.,flashcards
enra onanke tsoarin ja ixon,sé quién es ella.,flashcards
jara atibires ibirai,esto debería ser fácil.,flashcards
timanantira rankanke,lo enviaron a combatir.,flashcards
¿jawetiki en kopiati ja?,¿cuánto debería pagar?,flashcards
janra ninkawanke,ella le escuchó.,flashcards
miaki pikasai,necesitas desayunar.,flashcards
miara bewai iwanke,estabas cantando.,flashcards
aparoni kitaiteri ikantanakero:,un día el murciélago le dijo a su esposa:,cuentos
moara en onanke,ya lo sé.,flashcards
papanra ea yoyoati kirika bixonke.,papá me compró libros.,flashcards
enra ninkayamake,no escuché.,flashcards
min namabora en chibanke,seguí tus sueños.,flashcards
tomra raroshaman ibake,tom estaba emocionado.,flashcards
sopa chiwinwe,remueve la sopa.,flashcards
tomra moa kati jake,tom debería ir partiendo.,flashcards
¿jawe xeairin mia?,¿qué estás bebiendo?,flashcards
eara yatankanke,fui arrestado.,flashcards
eara akinkanti kewanke,necesitaba ayuda.,flashcards
jakoma jawekian riki mia,estás en peligro.,flashcards
manko riki ea,estoy calvo.,flashcards
rabekaxra icha tsinikanai,juegan mucho juntos.,flashcards
nonra kanankasires iwanke,solo queríamos ganar.,flashcards
¿jatian jawerano mia ibata?,¿entonces dónde estabas?,flashcards
jakoinra jaweki,fue tan excitante.,flashcards
¿jawe biti mia maxkata?,¿qué necesitas comprar?,flashcards
mia kopira non oranai,oraremos por ti.,flashcards
jain riki,es obvio.,flashcards
―ora nobane antyaro oni.,―mi chacra es grande.,cuentos
ramabi ea meniwe,dámelo ahora.,flashcards
¿jawe sawearin mia?,¿qué llevarás puesto?,flashcards
jakon jowe arakanke ea,fui bienvenido.,flashcards
ishtoinra min boai,estás conduciendo demasiado rápido.,flashcards
moara keyoke,ya terminó.,flashcards
jatibi non menipachoai,compartíamos todo.,flashcards
¿min ea yoiti atipana?,¿puedes explicarte?,flashcards
¿en mia akinti atipana?,¿puedo ayudarla con algo?,flashcards
yankon yoyo ati kirika ea meniwe,dame el libro verde.,flashcards
tomanra neteshamanxon ninkawanke,tom escuchó cuidadosamente.,flashcards
tomra ishtonres kaibake,tom estaba apresurado.,flashcards
neno manawe,espera aquí.,flashcards
yamekiri en quesadillabo pia,desayuné quesadillas.,flashcards
nokon kora bewe,trae mi sombrero.,flashcards
¿ramaki mia jawe aki iki?,¿qué estás haciendo ahora?,flashcards
¿jatian jaweki winota?,¿entonces qué pasó?,flashcards
jen ayamarakanai soro meniaitian,no se aceptan propinas.,flashcards
¿jaweranoki ja teetai?,¿dónde trabaja él?,flashcards
jara koshi iki,él es fuerte.,flashcards
kabanon. mia bakish oinbanon,adiós. hasta mañana.,flashcards
osanti jawekiresa ike,sólo fue una broma.,flashcards
westiora sere ea meniwe,dame una hora.,flashcards
chopa jopamawe,quitaos la ropa.,flashcards
¿mia cervezaya iki?,¿tienes cerveza?,flashcards
tomanra jatibitian ayamai,tom siempre pierde.,flashcards
ea jakoanmawe,déjame arreglarlo.,flashcards
xana itira moa keyoke,el verano terminó.,flashcards
jawen ikara nokon kenma iki,su actitud me indigna.,flashcards
onis jaweki riki,es tan triste...,flashcards
jara ikonma iki,eso no es cierto.,flashcards
jawe bemanara ibake sinata,su cara mostraba fatiga.,flashcards
enra kopiakai,yo pagaré.,flashcards
¿jawe mia ebe kenai?,¿qué quieres conmigo?,flashcards
jain akanwe,pónganlo allí.,flashcards
eara mawakasai,quiero morir.,flashcards
xoa riki mia,estás gordo.,flashcards
batara ibake,sabía dulce.,flashcards
¿mibeki tsoa iki?,¿quién estaba contigo?,flashcards
¿min xepenti atipana?,¿puedes abrir esta puerta?,flashcards
botiria kepenwe,abre la botella.,flashcards
jara ishtoai,ella corre.,flashcards
¿jaskara mia jenekasai?,¿quieres dejarlo así?,flashcards
nonra marokasai,queremos negociar.,flashcards
eara teekasai,necesito trabajar.,flashcards
ishton ishtowe,corre rápido.,flashcards
¿bostoainki jawe winota?,¿qué pasó en boston?,flashcards
jaboki niikana,ellos caminaron.,flashcards
min aka pekao,después de ti.,flashcards
enra sawepachoai wisho kora,usaba sombrero negro.,flashcards
mia jaibata,tú sobreviviste.,flashcards
¿ea moa kati atipana?,¿puedo irme ya?,flashcards
¿enki joe keteati atipana?,¿puedo apagar la luz?,flashcards
jakonra itinkanke,parecen felices.,flashcards
¿min bikasai?,¿querés comprarlo?,flashcards
―piperaitakani paita kaari poijatantakari piri. meekaya eiro piñajiri piri jate poijateri.,―ahora no vas a ver a tu padre porque no le has seguido.,cuentos
noara akinkanti kenai,necesitábamos ayuda.,flashcards
"tom, jishtenwe","tom, despierta.",flashcards
ichama xeanon iwe,tomamos un poco.,flashcards
¡poinkinin ikai!,¡qué güey!,flashcards
mesko jawekibo en yoyo akai,leo una revista.,flashcards
kikin janso riki mia,eres tan mentiroso.,flashcards
¿kirinko jonirin mia?,¿eres estadounidense?,flashcards
¿jawe mia yamekiri pikasai?,¿qué quieres desayunar?,flashcards
galletaya riki ea,tengo galletas.,flashcards
rama ninkawe,ahora escuchá atentamente.,flashcards
jawen witaxboriki nenke.,sus piernas son largas.,flashcards
nonra peoke rekentienxon.,empecemos por el principio.,flashcards
kikin raroshaman noa,somos felices.,flashcards
"ari otsitenitanaji ikamantakari itinajanaka inchaiki, ipasatakoyetakeri ibankoki taak, taak, ari imajeratanake te iriñanateji ari iyotabajiro kitaiteri.","ciertamente la noche siguiente, el padre se levantó y empezó a azotar la casa. él miraba lo que sucedía desde arriba.",cuentos
jaetiki mia non ribina?,¿cuánto te debemos?,flashcards
vino bewe,trae vino.,flashcards
¿jawerano mia oxakasai?,¿qué cama quieres usar?,flashcards
taebicho riki ea,estoy descalzo.,flashcards
wetsa testra en ake,hice otro test.,flashcards
¿tsoa manairin mia?,¿a quién estás esperando?,flashcards
jainmabires mia iwana,estabas claramente equivocado.,flashcards
karo mananon awe,pesquemos un bus.,flashcards
yaitabakaro itsarenkakero ibeane irosati ikentantakaro tsekik.,la lanzó y la atravesó.,cuentos
eara ishtoti atipanke,puedo correr.,flashcards
tom merakanwe,encuentren a tom.,flashcards
janekana riki mia,eres la elegida.,flashcards
tomanki aka,tom varió.,flashcards
¿mia nobe tsinikasai?,¿quieres jugar con nosotros?,flashcards
shinankanwe jawekibo,considérense afortunados.,flashcards
¿ovnisbo min ikoankai?,¿crees en ovnis?,flashcards
¿jaweranoki noa kai?},¿adónde iremos?,flashcards
minra yatanti jake,debes detenerlo.,flashcards
jainra ea bakish ikai,estaré allí mañana.,flashcards
enra nokon ani jema noike,amo mi país.,flashcards
jaskara iti atipanyamake,no debería ser así.,flashcards
eara jaweranobi kakashamai,odio perder.,flashcards
nato awe,tienta esto.,flashcards
¡kikin iwe!,¡qué pesado!,flashcards
shinanbo meniyamawe,no le des ideas.,flashcards
oshikasira ike tom,tom quería adelgazar.,flashcards
wetsakeskaakin shinanai,soy egoísta.,flashcards
pinon kawe,vámonos a comer.,flashcards
janso jawekira ibake yoyo ikanaibo,los rumores eran falsos.,flashcards
rabin riki ea,soy tímido.,flashcards
¿westiorara ea kenai?,¿necesito uno?,flashcards
¿jaweti sereki ikai?,¿cuánto tiempo dura?,flashcards
wetsabirestoninra ati atipanke,cualquiera puede hacerlo.,flashcards
wetsakeskaakinki yoikana,algo cambió.,flashcards
yoyo iyosma,eres nervioso.,flashcards
yoyo aresira ibake,solo estaba leyendo.,flashcards
eara ishokokasai,quiero competir.,flashcards
¿jakoma jawekiki en aka?,¿acaso hice algo mal?,flashcards
minra kopiati jake,deberías pagarlo.,flashcards
"yoka shirampari ijati ikobintsata inchatoshiki, osheki yamini pashimirintsi iro-bakajeityari itomipee.",un día el padre se fue a mitayar y trajo bastante carne de monte para que su hijo coma.,cuentos
¿min oinkasai?,¿quieres verlo?,flashcards
jara kikini teetai,ella trabaja duro.,flashcards
osanti akiresa ea iwanke,solo estaba bromeando.,flashcards
cabayoainoax pakewe,baja del caballo.,flashcards
xoa riki ea,soy obeso.,flashcards
min jato akinti atipanyamake,no puedes ayudarles.,flashcards
ari ikenanaji ijataji shabiniji. ari okantiri otomi:,"se fue, ya era tarde. la madre dijo a su hijo:",cuentos
¿mato golf tsiniai?,¿juegan golf?,flashcards
¿mia neri joti atipana?,¿podrías venir aquí?,flashcards
atikoma jawekibo,habrá dificultades.,flashcards
"¿janikampa ashaninkaka?ari meeka ikantashitanakari: matse, matse, matse.","―¿quién viene? voy a ver despacio “matse, matse, matse”.",cuentos
jakoinra papa riki mia,sos un buen padre.,flashcards
xepotira sion iwanke,la puerta chirrió.,flashcards
¿min ishtonshoko ea meniti atipana?,¿puedo tomarlo por prestado?,flashcards
ikonma riki,no puede ser cierto.,flashcards
enra reteai,le mataré.,flashcards
ikisakeri atiri.,se molestó con el hombre.,cuentos
ea ninkaxonwe,quiero disculparme.,flashcards
¿jaweranoki noa oinanai?,¿dónde nos vemos?,flashcards
westiora sere,un minuto.,flashcards
¿min akasai?,¿quieres hacerlo?,flashcards
enra manejati atipanyamake.,yo no puedo manejar.,flashcards
eara matsin ikai,tenía frío.,flashcards
jemanra ea ikai,estaré afuera.,flashcards
eara okoai,tengo tos.,flashcards
yoxan riki,es vieja.,flashcards
tsinkita riki noa,estamos organizados.,flashcards
eara nato menikanti jake,sé que merezco esto.,flashcards
miara manoirake,te perdiste mucho.,flashcards
¡alarma tiawe!,¡toca la alarma!,flashcards
¿min kanana?,¿estás ganando?,flashcards
jakoinra jainoa joibo onantira ea kenai,quiero un buen diccionario.,flashcards
¿jaki joa?,¿ha venido él?,flashcards
enra onanyamapa riki,todavía no lo sé.,flashcards
jara keyotian nokoke,ella llegó última.,flashcards
enra nonoti onanyamake,no sé nadar.,flashcards
miara isimenake,tú podrías resultar lastimado.,flashcards
tom bakeshoko,tom bebe.,flashcards
miara icha mibe raenanaiya iki,tienes muchos amigos.,flashcards
tomra isini iki,tom está enfermo.,flashcards
koshi yatanwe,sujétalo fuerte.,flashcards
¿jawe min jain benai?,¿qué buscas allí?,flashcards
icha jaskati ika jawekira en yoyo awanke,leí muchas novelas.,flashcards
¿min westiora meken meniti atipana?,¿quieres darme una mano?,flashcards
¿min yoyo akasai?,¿querés leer?,flashcards
jabaonra mia abiratiki,ellos deberían demandarte.,flashcards
neno ja riki ea,vivo aquí.,flashcards
ja ea bexonwe,traeme eso.,flashcards
jakoinra ike,estaba de buen humor.,flashcards
oshinkitaka osokijapake.,lo cargaba en su espalda.,cuentos
nato xepotira xepen iki,esa puerta está cerrada.,flashcards
¿goifistarin mia?,¿eres golfista?,flashcards
¿shinanbenotai jonirin mia?,¿eres desmemoriado?,flashcards
enra bimati atipanyamake,no puedo permitirme comprármelo.,flashcards
¿en yokati atipana jawe kopi?,¿puedo preguntar por qué?,flashcards
min shinanra jakon ibake,tenías razón antes.,flashcards
enra irake atiki,lo agradecería.,flashcards
kikiankira tomnin xeai,tom bebe mucho.,flashcards
noara oinkanke,fuimos enmarcados.,flashcards
"―ari, anii.",―aquí estoy.,cuentos
koshi ea ikowe,abrazame fuertemente.,flashcards
minra piti atipanyamake,no necesitas comer.,flashcards
ja ea oinmawe,muéstrame eso.,flashcards
tomra keyotiain jikike,tom finalmente accedió.,flashcards
bemana chokawe,lávate la cara.,flashcards
metsara joni,era tan romántico.,flashcards
¿jawekopi min ea neskara jaweki akai?,¿cómo pudiste hacerme esto?,flashcards
"―pipabakenarota pisheito, jeroka nashi nosheito. nopajatempiro koajika noipiojantempiro. noantabakearota narori.","―me prestas tu tripa para comer, yo te daré la mía.",cuentos
jakoinraakin noa kenai,es un buen trato.,flashcards
jatibira yoyo iki ikanai,todos están hablando.,flashcards
minra jakon akin akai,lo estás haciendo bien.,flashcards
noara museoain kawanke,fuimos al museo.,flashcards
enra akinti jake,debo ayudarlo.,flashcards
bochiki bowe,llévalo arriba.,flashcards
min kopi ea yoiwe,dime tu precio.,flashcards
jainra mia yoyo ike,sé que tienes razón.,flashcards
enra moa mia kopiati atipanke,puedo pagar por adelantado.,flashcards
janra manati jake,ella tendrá que esperarlo.,flashcards
jakon jisa mia,pareces aliviado.,flashcards
kikini nonoai riki ea,soy buen nadador.,flashcards
ja misho riki kafe,aquel gato es café.,flashcards
ishtonra en yoiyai,seré breve.,flashcards
janra aka pekao ninkaxonti yokawanke,él pidió disculpas.,flashcards
matora bewati atipanke,pueden cantar.,flashcards
ea benamawe,déjame averiguarlo.,flashcards
¿matoki ebetan joai?,¿ustedes vienen conmigo?,flashcards
nato riki,éste es.,flashcards
jawetianbi wetsakeskaakin shinanyamawe,nunca cambies.,flashcards
¿minki merati atipanyama?,¿no puedes encontrarlo?,flashcards
tomra ibake rabintani,tom estaba horrorizado.,flashcards
toman jen akai,tom aprueba.,flashcards
jakoinra raenanai bakeranon,sos un buen amigo.,flashcards
minra kamatima ike,nos podrías dejar ir.,flashcards
¿jawetianki joa?,¿cuándo volvió?,flashcards
cafera ea xeakasai,quisiera tomar café.,flashcards
¿mia bakish teeti jakon iki?,¿estás preparada para mañana?,flashcards
¿min jawe ayamai?,¿tiene tiempo?,flashcards
enra mia jawebi yoiyamei,no te deseo.,flashcards
¿senen joeyarin mia?,¿tienes suficiente energía?,flashcards
irimeka atiri tee ayoteji jaoka ikenanakeri.,hasta ahora no se sabe qué pasó con ese hombre.,cuentos
nenora ea jakas ibake,solía vivir aquí.,flashcards
¿mia matsin ikai?,¿tienes frío?,flashcards
¿maton tom oina?,¿ustedes vieron a tom?,flashcards
onanya jonibo,somos médicos.,flashcards
¿tsoaki jawerano iwana?,¿quién estaba dónde?,flashcards
¿jawerato mia kenai?,¿cuál querés?,flashcards
noara paxkina iki,nos sentimos frustrados.,flashcards
janra yoiyamake,no respondió.,flashcards
jakomachara en shinanai,estoy indignado.,flashcards
nonra jato akinti jake,deberíamos ayudar.,flashcards
jaskarakeska riki,eso creo.,flashcards
¿maton ikon yoiyai?,¿están seguros?,flashcards
¿jaskaakin aka mia oinkasai?,¿quieres pruebas?,flashcards
¿mia ninkakasai?,¿querés escucharlo?,flashcards
¡kikin jatibiya!,¡qué suertudo!,flashcards
¿manzanaki joshin iki?,¿la manzana es roja?,flashcards
riosanresa onanke,sólo dios sabe.,flashcards
eara joyamati atipanke,posiblemente no pueda venir.,flashcards
¿eara kenai westiora ambulancia?,¿necesitas una ambulancia?,flashcards
eara yosi iki,estoy viejo.,flashcards
"jen jen, jaskara","sí, claro.",flashcards
ponteshaman jawekira en onanke,lo sé con seguridad.,flashcards
enra mato ninkati atipanyamake,no puedo oíros.,flashcards
eabichor ikai,seré libre.,flashcards
marianinra ebe keyoke,maría terminó conmigo.,flashcards
eara jakon iki,estoy saludable.,flashcards
¿westiora jaya jikiti mia kenai?,¿quieres una entrada?,flashcards
"jakon, ¿ikon?","genial, ¿no?",flashcards
¿pikotama mia ika?,¿no estabas de salida?,flashcards
¿isiniri mia?,¿estás enfermo?,flashcards
eara parankanke,estoy decepcionado.,flashcards
tomki jabata,tom escapó.,flashcards
¿min benati atipana?,¿puedes encontrarlo?,flashcards
eara neno bakish ikai,estaré aquí mañana.,flashcards
¿mia manota?,¿estás perdido?,flashcards
rentes iomaxonra en yoyoati atipanke.,puedo leer sin gafas.,flashcards
min yoiya jawekibora en chibanke,seguí tu sugerencia.,flashcards
onantikomara iwanke,sé que fue extraño.,flashcards
jatibira ibakanke jakoinrabo,todos estuvieron satisfechos.,flashcards
noara jan batantiyoma iki,no tenemos azúcar.,flashcards
toman timaibake xepoti,tom golpeó la puerta.,flashcards
jatixonbi noikana,es adorable.,flashcards
enra jain kati shinanke,decidí ir allí.,flashcards
¿mia biai?,¿tú reciclas?,flashcards
eara jain jikiti atipanyamake.,no puedo entrar ahí.,flashcards
moa katiriki,es hora de irse.,flashcards
onisara en mia oinai,luces algo triste.,flashcards
tomanra jawen xobo maroai,tom vende su casa.,flashcards
yoyo iresi riki noa,solo estamos hablando.,flashcards
enra kikin akin nonoti onanke,sé nadar bien.,flashcards
eara niti atipanke,apenas puedo caminar.,flashcards
jawe atiomara ea ikai.,voy a estar libre.,flashcards
niakin koshiawe,atorníllalo firmemente.,flashcards
eara internet kenai,necesito internet.,flashcards
kikin raroriki noa,somos tan felices.,flashcards
kikin icha jonira jain ibakanke,había mucha gente allá.,flashcards
waira oinin kenai,los cultivos necesitan lluvia.,flashcards
¿jawekopiki kopiati ja?,¿por qué debería pagar?,flashcards
¿ja pekaoki min jawe aibata?,¿qué hiciste luego?,flashcards
isin riki,eso duele.,flashcards
moa atires riki ea,estoy listo.,flashcards
oshabiji osheki tsirompe.,había mucha gente.,cuentos
eabichora ikai,estaré solo.,flashcards
noara neteshaman iti jake,deberíamos hacer silencio.,flashcards
ea oinmakanwe,déjame verlo.,flashcards
titara winibake,mamá lloró.,flashcards
jarai kai icha teebo,habrá más oportunidades.,flashcards
kikin onankana joni,eran muy populares.,flashcards
¿jaweraki min ea yoyo akasai?,¿de qué quieres hablarme?,flashcards
jan akara merakanke,lo encontraron culpable.,flashcards
¿jaweranoki en ati atipana?,¿dónde puedo aparcar?,flashcards
jakesaya riki ea,tengo jaqueca.,flashcards
tomasninra cafe maroai,tomás vende café.,flashcards
tomra ishtoai,tom hace ejercicio.,flashcards
jawebi ikoanyamai,soy ateo.,flashcards
en shinanai jawekires riki,sólo es una expresión.,flashcards
eara restis ike,me resfrié.,flashcards
isinima riki,no está enfermo.,flashcards
chopaomara ea ibake,estaba desnudo.,flashcards
¿eiromeka nopajimpitsi oanarontsi aisati pimere?,¿acaso crees que te voy a dar comida otra vez?,cuentos
¡ea akinwe! ¡ea akinwe!,¡socorro! ¡auxilio!,flashcards
kikin ochomara ikanai,están demasiado cerca.,flashcards
eara pikasai,quiero comer.,flashcards
jawera ayamake,es inocente.,flashcards
xeatiya riki ea,tengo cerveza.,flashcards
eara frances axeti jake,debería estudiar francés.,flashcards
jaskara winotai,eso pasa.,flashcards
koshimacha oi bea,llovía quedito.,flashcards
¿tomas te iamax kafe mia kenai?,¿tomas té o café?,flashcards
nonra noike,lo admiramos.,flashcards
enbichora ake,lo hice yo solo.,flashcards
iñapaakero chora irobane aisati ipankitake inki.,vio que tenía comida y chacra.,cuentos
enara mibe kati atipanyamake.,no puedo ir contigo.,flashcards
eara kikin akin onismake,me puso realmente triste.,flashcards
tsonki xepena,alguien abrió la puerta.,flashcards
