source,target,dataset
waneru gipetu.,había un ronsoco.,relatos
wane pnute rapga wapoka.,después llegamos al río.,relatos
gopawo weta.,encontramos una concha.,relatos
wa tye wanika wyenewatinripa.,la llevamos para jugar con ella.,relatos
¿katu gapoka?,¿quién llega?,relatos
patu gapokatka.,mi tío ha llegado.,relatos
¿ginaka ruyakatya?,¿de dónde viene?,relatos
gawaka runya.,ha venido de río arriba.,relatos
¿ginaka rawanu?,¿dónde va a quedar?,relatos
gewiko rawanutka.,va a quedar aquí mismo.,relatos
tutnupre nwapa.,traigo papina.,relatos
wiwi tutnuta nato.,mi tía lleva a mi hermanito.,relatos
rapnanutanu wiwi wa gayini.,mi hermanito descansa entre tanto que vayamos.,relatos
wiwi paranta-pu nika.,mi hermanito come un plátano.,relatos
pa putnakni nenekanru.,le voy a dar otro plátano.,relatos
wenu wkoprugata.,vamos a cruzar el río.,relatos
papa kanawate wkoprugatya.,vamos a cruzar en la canoa de mi padre.,relatos
yeye ga wa gita koprugatatka.,mi hermano y yo ya cruzamos.,relatos
wakanu gayatka.,vamos a la banda.,relatos
ruykotno koko:,mi tío me aconseja:,relatos
gi wa kyowiko-waka pyenewatini.,no juegues en lugares peligrosos.,relatos
"gwu, koko, gi wane nyenewatinitka.","muy bien, tío, no jugaré allí.",relatos
gewiko nyenewatini.,jugaré aquí mismo.,relatos
ruykotatnakno koko.,mi tío me aconseja otra vez.,relatos
"gi patewatanu, wiwi.","no tengas vergüenza, hijito.",relatos
ptunwatanu. potukapyi.,ponte de pie. párate bien.,relatos
wuya. gi patewatanutka.,anda. no tengas más vergüenza.,relatos
pa pirana punkakanwu.,dinos algo.,relatos
giyagni nunkakatkana.,así que les dije algo.,relatos
panawata nanuru.,mi primo está edificando una casa.,relatos
giyagni panawata.,por eso es que edifica su casa.,relatos
runkakno wa panawatini.,me dijo que está edificando una casa.,relatos
¿katu ganunrotanu?,¿con quién va a casarse?,relatos
kowata papa.,mi papá hace una barbacoa.,relatos
wane pnute kanawa wpokota.,entonces ponemos la carga en la canoa.,relatos
kowita papa. gayatka.,mi papá toca la bocina. nos vamos.,relatos
kagwuru wontapa.,vamos a ver la flor.,relatos
gitawaka gowatu-gwu wetapya.,vamos a ver la flor del finfín en la peña.,relatos
kapayo-gwu gewi wetya.,vemos aquí la flor de la papaya.,relatos
wane gitawna weta.,allí vimos barro negro.,relatos
nato wunkakanu.,se lo voy a decir a mi tía.,relatos
